"Wash.number","Average","Median","SD"
"1","W000",5.92,0.23,25.35
"2","W001",0.2,0.14,0.16
"3","W002",0.06,0.03,0.07
"4","W003",0.03,0.02,0.04
"5","W004",0.01,0.01,0.02
"6","W005",0.02,0,0.02
"7","W010",0.01,0.01,0.02
"8","W015",0,0,0.01
