"Wash.number","Average","Median","SD"
"1","W000",0.19,0.2,0.09
"2","W001",0.21,0.24,0.1
"3","W002",0.07,0.06,0.04
"4","W003",0.09,0.09,0.06
"5","W004",0.03,0.03,0.03
"6","W005",0.03,0.03,0.02
"7","W006",0.02,0.01,0.02
"8","W007",0.01,0.01,0.01
"9","W009",0.01,0,0.02
"10","W011",0,0,0.02
"11","W013",0.03,0.03,0.01
"12","W015",0.02,0.02,0.02
