Pairwise.Comparison,Estimate,T.Value,p.Value,Significance
15mm - 10mm,-11.0998376623376,-1.65301081650941,0.36293,NS
20mm - 10mm,-2.75176832096473,-0.409799038279328,0.97642,NS
5mm - 10mm,-12.0869086270872,-1.80000746916583,0.28998,NS
20mm - 15mm,8.34806934137291,1.24321177823008,0.60409,NS
5mm - 15mm,-0.987070964749542,-0.146996652656427,0.99885,NS
5mm - 20mm,-9.33514030612245,-1.3902084308865,0.51356,NS
