"Wash.number","Average","Median","SD"
"1","W000",0.191,0.16,0.14
"2","W001",0.301,0.29,0.15
"3","W002",0.376,0.35,0.16
"4","W003",0.274,0.29,0.1
"5","W004",0.311,0.31,0.12
"6","W005",0.229,0.23,0.09
"7","W006",0.259,0.26,0.09
"8","W007",0.201,0.2,0.1
"9","W008",0.18,0.17,0.08
"10","W009",0.198,0.19,0.07
"11","W010",0.196,0.16,0.1
"12","W011",0.118,0.11,0.05
"13","W012",0.218,0.17,0.25
"14","W013",0.171,0.16,0.08
"15","W014",0.158,0.13,0.11
"16","W015",0.114,0.11,0.07
"17","W018",0.127,0.12,0.06
"18","W019",0.117,0.12,0.06
"19","W020",0.08,0.07,0.06
"20","W021",0.097,0.09,0.07
"21","W022",0.073,0.06,0.06
"22","W023",0.083,0.06,0.07
"23","W025",0.088,0.07,0.08
"24","W027",0.044,0.04,0.04
"25","W029",0.047,0.05,0.02
"26","W031",0.044,0.03,0.04
"27","W033",0.041,0.04,0.03
"28","W035",0.041,0.03,0.03
"29","W037",0.053,0.05,0.04
"30","W039",0.045,0.03,0.03
"31","W041",0.015,0.01,0.03
