"Wash.number","Average","Median","SD"
"1","W000",0.12,0.12,0.05
"2","W001",0.3,0.33,0.12
"3","W002",0.21,0.25,0.09
"4","W003",0.14,0.12,0.14
"5","W004",0.07,0.06,0.03
"6","W005",0.11,0.08,0.08
"7","W006",0.08,0.08,0.07
"8","W007",0.07,0.06,0.05
"9","W008",0.01,0.01,0.04
"10","W009",0.04,0.04,0.03
"11","W010",0.02,0.02,0.03
"12","W013",0.01,0,0.02
"13","W015",0.03,0.03,0.05
