Wash,Ratio,Condition
W000,47.37,W000_G2
W001,102.76,W001_G2
W003,191.71,W003_G2
W005,141.13,W005_G2
W007,53.27,W007_G2
W009,172.71,W009_G2
W013,1641.78,W013_G2
W015,226.1,W015_G2
