Transfer_meanArea,Shedding_meanArea,Wash
1.03,111.5,W000
1.8,184.48,W001
0.68,220.83,W003
0.59,85.61,W005
0.21,135.85,W007
0.44,81.34,W009
0.46,62.72,W011
0.4,53.93,W013
0.35,40.73,W015
