Wash,Ratio,Condition
W000,45.14,W000_G4
W001,79.34,W001_G4
W003,145.64,W003_G4
W005,103.53,W005_G4
W007,232.67,W007_G4
W009,118.33,W009_G4
W011,247.5,W011_G4
