group,value
W023,2
W023,0
W023,2
W023,1
W023,9
W023,1
W023,3
W023,1
W023,1
W023,0
W023,1
W023,3
W023,0
W023,0
W023,3
W023,4
W023,2
W023,2
W023,3
W023,2
W023,2
W023,2
W023,1
W024,2
W024,3
