Experiment,Diff.FA,U.F.FA,Diff.FN,U.F.FN,Wf,U.C,U.C3
1,-4.05999999999995,0.0529150262212695,55.5800000000002,0.0316227766016982,59.64,0.061644140029678,0.18
2,-6.3599999999999,0.0424264068711864,66.3599999999999,0.0692820323027479,72.72,0.0812403840463501,0.24
3,-5.88000000000011,0.0632455532033496,51.8600000000001,0.039999999999992,57.74,0.0748331477354594,0.22
4,-5.41999999999985,0.0489897948556793,51.78,0.0489897948556422,57.2,0.0692820323027512,0.21
5,-7.44000000000005,0.0529150262212695,49.8,0.0469041575982256,57.24,0.0707106781186322,0.21
6,-2.40000000000009,0.034641016151346,58.2,0.0469041575982256,60.6,0.0583095189484273,0.17
7,-8.55999999999995,0.0447213595499958,44.5,0.063245553203382,53.06,0.0774596669241601,0.23
