meanArea,SD,Weight,Condition
11.04,2.3,100g,W000
15.63,3.97,200g,W000
31.22,8.92,400g,W000
43.58,5.69,800g,W000
47.08,15.37,1000g,W000
84.65,21.25,2000g,W000
109.12,15.98,100g,W001
123.04,12.49,200g,W001
177.58,24.99,400g,W001
223,39.64,800g,W001
232.58,58.87,1000g,W001
319.8,17.95,2000g,W001
52.08,5.86,100g,W003
58.82,16.15,200g,W003
99.34,29.2,400g,W003
205.13,28.8,800g,W003
200.19,47.21,1000g,W003
267.17,48.17,2000g,W003
16.6,2.09,100g,W005
28.85,5.92,200g,W005
80.58,19.5,400g,W005
119.96,26.53,800g,W005
127.76,28.03,1000g,W005
221.95,45.62,2000g,W005
6.52,2.11,100g,W007
13.87,0.96,200g,W007
31.03,8.96,400g,W007
33.56,9.38,800g,W007
114.9,17.37,1000g,W007
162.58,22.54,2000g,W007
8.99,2.34,100g,W009
18.56,9.13,200g,W009
34.18,7.29,400g,W009
53.54,16.66,800g,W009
70.64,14.65,1000g,W009
96.32,15.88,2000g,W009
23,9.16,100g,W011
35.69,15.41,200g,W011
66.11,5.47,400g,W011
66.49,16.23,800g,W011
113.1,40.77,1000g,W011
162.99,34.84,2000g,W011
51.42,7.73,100g,W013
83.95,10.26,200g,W013
110.9,33.87,400g,W013
147.76,33.51,800g,W013
157.93,23.3,1000g,W013
198.4,25.51,2000g,W013
9.29,4.7,100g,W015
13.77,4.05,200g,W015
30.93,14.79,400g,W015
70.09,10.77,800g,W015
71.11,10.27,1000g,W015
74.83,11.7,2000g,W015
