Wash number,Average,median,SD,SD2,Forthesis
W000,5.7,5,3.29,3.42,5.7 ± 3.29
W001,12.87,14,5.96,6.04,12.87 ± 5.96
W002,15.07,15,4.81,4.9,15.07 ± 4.81
W003,13.17,14,3.14,3.28,13.17 ± 3.14
W004,15.13,15,4.76,4.85,15.13 ± 4.76
W005,11.6,11.5,3.19,3.33,11.6 ± 3.19
W006,13.03,13,4.48,4.58,13.03 ± 4.48
W007,10.5,9,4.03,4.14,10.5 ± 4.03
W008,9.57,10,3.62,3.74,9.57 ± 3.62
W009,10.5,10.5,3.22,3.36,10.5 ± 3.22
W010,11.13,10,4.41,4.51,11.13 ± 4.41
W011,7.47,8,2.43,2.61,7.47 ± 2.43
W012,9.1,9,3.51,3.64,9.1 ± 3.51
W013,8.77,9,3.87,3.98,8.77 ± 3.87
W014,9.33,9,4.82,4.91,9.33 ± 4.82
W015,6.47,6,3.09,3.23,6.47 ± 3.09
