Washnumber,Wash,Rinse,Total
1,5.5,17,22.5
2,5,17.5,22.5
3,5.5,16,21.5
4,5.5,15.5,21
5,5.5,15.5,21
6,,,
7,,,
8,,,
9,,,
10,,,
11,,,
12,,,
13,,,
14,,,
15,,,
