meanArea,SD,Weight,Condition
22.81,9.29,100g,W000
43.2,38.08,200g,W000
47.45,11.81,400g,W000
68.61,14.37,800g,W000
62.33,14.97,1000g,W000
64.63,17.75,2000g,W000
130.29,40.33,100g,W001
150.63,36.45,200g,W001
171.33,38.97,400g,W001
201.53,39.28,800g,W001
243.15,55.89,1000g,W001
327.53,69.2,2000g,W001
125.41,33.87,100g,W003
177.04,47.2,200g,W003
246.05,47.14,400g,W003
311.67,61.2,800g,W003
346.6,63.58,1000g,W003
453.36,85.58,2000g,W003
72.59,10.67,100g,W005
84.03,23,200g,W005
121.86,30.64,400g,W005
185.32,42.05,800g,W005
237.73,65.76,1000g,W005
286.49,62.4,2000g,W005
194.73,57.38,100g,W007
190.45,60.48,200g,W007
134.68,35.05,400g,W007
360.64,93.84,800g,W007
293.21,56.03,1000g,W007
330.38,100.26,2000g,W007
38.28,13.98,100g,W009
47.16,19.53,200g,W009
105.85,33.91,400g,W009
182.23,38.28,800g,W009
145.47,38.48,1000g,W009
304.03,124.03,2000g,W009
103.34,44.48,100g,W011
110.83,38,200g,W011
150.4,78.9,400g,W011
257.4,92.17,800g,W011
262.69,60.8,1000g,W011
294.09,80.18,2000g,W011
96.11,37.96,100g,W013
106.53,41.45,200g,W013
136.02,44.66,400g,W013
225.44,63.96,800g,W013
209.53,53.96,1000g,W013
260.3,49.9,2000g,W013
63.84,19.85,100g,W015
88.48,27.99,200g,W015
97.99,30.78,400g,W015
122.3,26.03,800g,W015
171.72,55.41,1000g,W015
221.35,56.41,2000g,W015
