Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
20240419_Operator 3_firm_G2_R3_4.TIF,127,15.446,0.122,14.654,255,3.895,0.186,0.454
20240419_Operator 3_firm_G2_R3_5.TIF,107,6.923,0.065,6.568,255,3.055,0.161,0.422
20240419_Operator 3_firm_G2_R3_6.TIF,118,7.339,0.062,6.963,255,2.976,0.171,0.422
20240419_Operator 4_gentle_G2_R1_1.TIF,30,1.447,0.048,1.373,255,2.814,0.133,0.337
20240419_Operator 4_gentle_G2_R1_2.TIF,31,1.441,0.046,1.367,255,2.599,0.121,0.33
20240419_Operator 4_gentle_G2_R1_3.TIF,37,1.293,0.035,1.227,255,2.011,0.144,0.378
20240419_Operator 4_gentle_G2_R1_4.TIF,27,1.095,0.041,1.039,255,2.373,0.126,0.362
20240419_Operator 4_gentle_G2_R1_5.TIF,27,1.18,0.044,1.119,255,2.397,0.141,0.392
20240419_Operator 4_gentle_G2_R1_6.TIF,43,1.643,0.038,1.559,255,2.141,0.158,0.377
20240419_Operator 4_gentle_G2_R2_1.TIF,49,1.682,0.034,1.596,255,2.088,0.146,0.377
20240419_Operator 4_gentle_G2_R2_2.TIF,48,1.708,0.036,1.62,255,2.106,0.155,0.384
20240419_Operator 4_gentle_G2_R2_3.TIF,46,1.385,0.03,1.314,255,1.812,0.161,0.404
20240419_Operator 4_gentle_G2_R2_4.TIF,39,1.565,0.04,1.485,255,2.165,0.157,0.383
20240419_Operator 4_gentle_G2_R2_5.TIF,59,1.702,0.029,1.614,255,1.662,0.167,0.417
20240419_Operator 4_gentle_G2_R2_6.TIF,37,1.344,0.036,1.275,255,2.215,0.175,0.423
20240419_Operator 4_gentle_G2_R3_1.TIF,72,3.988,0.055,3.783,255,3.017,0.141,0.381
20240419_Operator 4_gentle_G2_R3_2.TIF,109,4.267,0.039,4.049,255,1.933,0.232,0.533
20240419_Operator 4_gentle_G2_R3_3.TIF,73,4.276,0.059,4.057,255,2.992,0.152,0.385
