Slice,Count,Total Area,Average Size,%Area,Mean,Perim.,Circ.,Solidity
20230614_MP_W002_G3_3_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_4_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_5_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_6_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_7_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_8_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_9_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230614_MP_W002_G3_negative_B.TIF,1,0.008,0.008,0.007,255,0.471,0.425,0.661
20230614_MP_W002_G3_positive_B.TIF,14,0.297,0.021,0.285,255,1.125,0.259,0.546
20230615_MP_W003_G3_10_Atr.TIF,7,0.222,0.032,0.213,255,1.716,0.181,0.472
20230615_MP_W003_G3_1_Atr.TIF,2,0.157,0.079,0.151,255,4.033,0.117,0.369
20230615_MP_W003_G3_2_Atr.TIF,6,0.163,0.027,0.156,255,1.407,0.239,0.539
20230615_MP_W003_G3_3_Atr.TIF,3,0.078,0.026,0.074,255,1.263,0.209,0.548
20230615_MP_W003_G3_4_Atr.TIF,1,0.012,0.012,0.012,255,0.743,0.276,0.588
20230615_MP_W003_G3_5_Atr.TIF,1,0.028,0.028,0.027,255,1.789,0.111,0.532
20230615_MP_W003_G3_6_Atr.TIF,2,0.051,0.025,0.049,255,1.543,0.15,0.479
20230615_MP_W003_G3_7_Atr.TIF,4,0.082,0.02,0.079,255,1.262,0.216,0.484
20230615_MP_W003_G3_8_Atr.TIF,2,0.065,0.033,0.063,255,2.055,0.097,0.316
20230615_MP_W003_G3_9_Atr.TIF,1,0.011,0.011,0.011,255,0.709,0.28,0.6
20230615_MP_W003_G3_negative_Atr.TIF,1,0.009,0.009,0.009,255,0.503,0.448,0.679
20230615_MP_W003_G3_positive_Atr.TIF,13,0.304,0.023,0.292,255,1.255,0.219,0.528
20230615_MP_W003_G3_10_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230615_MP_W003_G3_1_B.TIF,4,0.098,0.025,0.094,255,1.438,0.204,0.443
20230615_MP_W003_G3_2_B.TIF,1,0.065,0.065,0.063,255,2.969,0.093,0.283
20230615_MP_W003_G3_3_B.TIF,3,0.123,0.041,0.118,255,2.31,0.123,0.338
20230615_MP_W003_G3_4_B.TIF,1,0.008,0.008,0.008,255,0.485,0.434,0.665
20230615_MP_W003_G3_5_B.TIF,3,0.076,0.025,0.073,255,1.435,0.169,0.421
20230615_MP_W003_G3_6_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230615_MP_W003_G3_7_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230615_MP_W003_G3_8_B.TIF,3,0.051,0.017,0.049,255,0.999,0.249,0.517
20230615_MP_W003_G3_9_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230615_MP_W003_G3_negative_B.TIF,1,0.008,0.008,0.007,255,0.471,0.425,0.661
20230615_MP_W003_G3_positive_B.TIF,14,0.297,0.021,0.285,255,1.125,0.259,0.546
20230616_MP_W004_G3_10_Atr.TIF,3,0.051,0.017,0.049,255,0.95,0.233,0.626
20230616_MP_W004_G3_1_Atr.TIF,2,0.021,0.011,0.02,255,0.482,0.534,0.828
20230616_MP_W004_G3_2_Atr.TIF,1,0.01,0.01,0.01,255,0.539,0.437,0.774
20230616_MP_W004_G3_3_Atr.TIF,1,0.039,0.039,0.037,255,2.093,0.111,0.612
20230616_MP_W004_G3_4_Atr.TIF,1,0.006,0.006,0.006,255,0.331,0.672,0.848
20230616_MP_W004_G3_5_Atr.TIF,4,0.072,0.018,0.069,255,1.125,0.215,0.607
20230616_MP_W004_G3_6_Atr.TIF,4,0.159,0.04,0.153,255,2.127,0.142,0.366
20230616_MP_W004_G3_7_Atr.TIF,2,0.023,0.012,0.022,255,0.75,0.257,0.626
20230616_MP_W004_G3_8_Atr.TIF,6,0.084,0.014,0.081,255,0.831,0.295,0.682
20230616_MP_W004_G3_9_Atr.TIF,3,0.043,0.014,0.041,255,0.879,0.283,0.517
20230616_MP_W004_G3_negative_Atr.TIF,1,0.009,0.009,0.009,255,0.503,0.448,0.679
20230616_MP_W004_G3_positive_Atr.TIF,13,0.304,0.023,0.292,255,1.255,0.219,0.528
20230616_MP_W004_G3_10_B.TIF,1,0.025,0.025,0.024,255,1.375,0.163,0.639
20230616_MP_W004_G3_1_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230616_MP_W004_G3_2_B.TIF,2,0.022,0.011,0.021,255,0.743,0.244,0.494
20230616_MP_W004_G3_3_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230616_MP_W004_G3_4_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230616_MP_W004_G3_5_B.TIF,2,0.02,0.01,0.019,255,0.617,0.312,0.679
20230616_MP_W004_G3_6_B.TIF,1,0.008,0.008,0.008,255,0.55,0.342,0.585
20230616_MP_W004_G3_7_B.TIF,1,0.008,0.008,0.007,255,0.409,0.572,0.805
20230616_MP_W004_G3_8_B.TIF,0,0,NaN,0,NaN,NaN,NaN,NaN
20230616_MP_W004_G3_9_B.TIF,1,0.006,0.006,0.006,255,0.412,0.467,0.829
20230616_MP_W004_G3_negative_B.TIF,1,0.008,0.008,0.007,255,0.471,0.425,0.661
20230616_MP_W004_G3_positive_B.TIF,14,0.297,0.021,0.285,255,1.125,0.259,0.546
20230617_MP_W005_G3_10_Atr.TIF,2,0.06,0.03,0.058,255,1.54,0.207,0.56
20230617_MP_W005_G3_1_Atr.TIF,1,0.041,0.041,0.039,255,1.934,0.138,0.432
20230617_MP_W005_G3_2_Atr.TIF,3,0.051,0.017,0.049,255,1.073,0.184,0.492
20230617_MP_W005_G3_3_Atr.TIF,4,0.059,0.015,0.056,255,0.887,0.295,0.7
20230617_MP_W005_G3_4_Atr.TIF,4,0.108,0.027,0.104,255,1.321,0.283,0.58
