Operator,Pressure,Garment,Repeat,Sample,Area,Area.px,Area.mm2
Operator 1,gentle,G2,R1,4,2.173,197545.454545455,16.3260706235913
Operator 1,gentle,G2,R1,5,1.878,170727.272727273,14.1096919609316
Operator 1,gentle,G2,R1,6,2.068,188000,15.5371900826446
Operator 1,gentle,G2,R2,1,2.357,214272.727272727,17.7084898572502
Operator 1,gentle,G2,R2,2,1.654,150363.636363636,12.4267468069121
Operator 1,gentle,G2,R2,3,1.195,108636.363636364,8.97821187077385
Operator 1,gentle,G2,R2,4,0.851,77363.6363636364,6.39368895567243
Operator 1,gentle,G2,R2,5,0.744,67636.3636363636,5.58978211870774
Operator 1,gentle,G2,R2,6,0.736,66909.0909090909,5.52967693463561
Operator 1,gentle,G2,R3,1,1.258,114363.636363636,9.45154019534185
Operator 1,gentle,G2,R3,2,1.812,164727.272727273,13.6138241923366
Operator 1,gentle,G2,R3,3,1.24,112727.272727273,9.31630353117957
Operator 1,gentle,G2,R3,4,1.622,147454.545454545,12.1863260706236
Operator 1,gentle,G2,R3,5,0.812,73818.1818181818,6.10067618332081
Operator 1,gentle,G2,R3,6,0.841,76454.5454545455,6.31855747558227
Operator 3,firm,G2,R1,1,3.599,327181.818181818,27.0398196844478
Operator 3,firm,G2,R1,2,4.182,380181.818181818,31.419984973704
Operator 3,firm,G2,R1,3,4.615,419545.454545455,34.6731780616078
Operator 3,firm,G2,R1,4,4.315,392272.727272727,32.4192336589031
Operator 3,firm,G2,R1,5,6.705,609545.454545455,50.3756574004508
Operator 3,firm,G2,R1,6,6.504,591272.727272727,48.8655146506386
Operator 3,firm,G2,R2,1,4.614,419454.545454545,34.6656649135988
Operator 3,firm,G2,R2,2,6.181,561909.090909091,46.4387678437265
Operator 3,firm,G2,R2,3,7.177,652454.545454545,53.9218632607062
Operator 3,firm,G2,R2,4,11.602,1054727.27272727,87.167543200601
Operator 3,firm,G2,R2,5,13.249,1204454.54545455,99.54169797145
Operator 3,firm,G2,R2,6,11.793,1072090.90909091,88.6025544703231
Operator 3,firm,G2,R3,1,10.327,938818.181818182,77.5882794891059
Operator 3,firm,G2,R3,2,9.963,905727.272727273,74.8534936138242
Operator 3,firm,G2,R3,3,17.134,1557636.36363636,128.730277986476
Operator 3,firm,G2,R3,4,15.446,1404181.81818182,116.048084147258
Operator 3,firm,G2,R3,5,6.923,629363.636363636,52.0135236664162
Operator 3,firm,G2,R3,6,7.339,667181.818181818,55.1389932381668
Operator 4,gentle,G2,R1,1,1.447,131545.454545455,10.8715251690458
Operator 4,gentle,G2,R1,2,1.441,131000,10.8264462809917
Operator 4,gentle,G2,R1,3,1.293,117545.454545455,9.7145003756574
Operator 4,gentle,G2,R1,4,1.095,99545.4545454545,8.22689706987228
Operator 4,gentle,G2,R1,5,1.18,107272.727272727,8.86551465063862
Operator 4,gentle,G2,R1,6,1.643,149363.636363636,12.3441021788129
Operator 4,gentle,G2,R2,1,1.682,152909.090909091,12.6371149511645
Operator 4,gentle,G2,R2,2,1.708,155272.727272727,12.8324567993989
Operator 4,gentle,G2,R2,3,1.385,125909.090909091,10.4057099924869
Operator 4,gentle,G2,R2,4,1.565,142272.727272727,11.7580766341097
Operator 4,gentle,G2,R2,5,1.702,154727.272727273,12.7873779113449
Operator 4,gentle,G2,R2,6,1.344,122181.818181818,10.0976709241172
Operator 4,gentle,G2,R3,1,3.988,362545.454545455,29.9624342599549
Operator 4,gentle,G2,R3,2,4.267,387909.090909091,32.0586025544703
Operator 4,gentle,G2,R3,3,4.276,388727.272727273,32.1262208865515
Operator 4,gentle,G2,R3,4,2.66,241818.181818182,19.984973703982
Operator 4,gentle,G2,R3,5,1.864,169454.545454545,14.0045078888054
Operator 4,gentle,G2,R3,6,1.161,105545.454545455,8.72276483846732
Operator 5,firm,G1,R1,1,8.18,743636.363636364,61.4575507137491
Operator 5,firm,G1,R1,2,8.111,737363.636363636,60.939143501127
Operator 5,firm,G1,R1,3,4.418,401636.363636364,33.1930879038317
Operator 5,firm,G1,R1,4,5.9,536363.636363636,44.3275732531931
Operator 5,firm,G1,R1,5,3.597,327000,27.0247933884298
Operator 5,firm,G1,R1,6,4.184,380363.636363636,31.435011269722
Operator 5,firm,G1,R2,1,8.01,728181.818181818,60.1803155522164
Operator 5,firm,G1,R2,2,7.271,661000,54.6280991735537
Operator 5,firm,G1,R2,3,5.876,534181.818181818,44.1472577009767
Operator 5,firm,G1,R2,4,5.375,488636.363636364,40.3831705484598
Operator 5,firm,G1,R2,5,4.955,450454.545454545,37.2276483846732
Operator 5,firm,G1,R2,6,4.362,396545.454545455,32.7723516153268
Operator 5,firm,G1,R3,1,6.878,625272.727272727,51.6754320060105
Operator 5,firm,G1,R3,2,6.764,614909.090909091,50.8189331329827
