Wash,Weight,Average,Median,SD
W000,1000g,135.8,134.09,44.11
W000,100g,34.26,32.89,9.78
W000,2000g,108.79,105.86,9.8
W000,200g,49.06,41.11,12.34
W000,400g,78.64,70.06,19.09
W000,800g,109.55,111.28,35.07
W001,1000g,282.33,296.28,41.71
W001,100g,89.16,87.7,8.58
W001,2000g,340.69,355,39.65
W001,200g,118.3,121.16,19.77
W001,400g,199.39,180.43,35.96
W001,800g,180.71,174.09,28.96
W003,1000g,212,211.13,30.39
W003,100g,106.74,105.73,15.93
W003,2000g,286.3,303.23,52.25
W003,200g,144.54,128.62,58.9
W003,400g,136.92,149.07,24
W003,800g,217.78,224.67,24.76
W005,1000g,112.59,115.03,46.5
W005,100g,22.39,22.79,9.58
W005,2000g,191.94,178.36,24.22
W005,200g,31.12,30.42,4.64
W005,400g,56.42,51.62,16.36
W005,800g,83.51,79.17,22.34
W007,1000g,138.59,136.01,17.12
W007,100g,48.92,43.88,12.87
W007,2000g,212.18,196.49,36.45
W007,200g,84.45,80.65,10.79
W007,400g,118.67,126.14,16.37
W007,800g,133.59,150.41,32.78
W009,1000g,76.19,73.55,15.29
W009,100g,17.53,16.24,3.23
W009,2000g,188.04,200.49,58.5
W009,200g,22.65,17.78,11.51
W009,400g,47.53,45,15.53
W009,800g,79.24,74.54,20.36
W011,1000g,68.52,71.53,15.58
W011,100g,22.55,23.19,3.54
W011,2000g,138.12,139.98,18.53
W011,200g,49.92,48.6,6.03
W011,400g,52.25,48.87,16.76
W011,800g,61.7,57.62,6.67
W013,1000g,57.24,59.06,11.86
W013,100g,12.19,12.58,1.87
W013,2000g,96.67,96.72,14.37
W013,200g,15.41,13.62,8.59
W013,400g,31.46,33.98,7.28
W013,800g,52.84,53.91,18.41
W015,1000g,60.25,59.11,17.43
W015,100g,8.72,8.39,1.24
W015,2000g,95.16,96.15,13.06
W015,200g,15.47,16.87,4.18
W015,400g,33.27,33.62,7.45
W015,800g,39.95,39.59,5.71
