G1,,,,,,G1 per 1cm2 (comparison with Kelly),,,,,,G2,,,,,,G2 per 1cm2 (comparison with Kelly),,,,,,G3,,,,,,G3 per 1cm2 (comparison with Kelly),,,,,,,,,149,68
Wash,Weight,Average,Median,SD,,Wash,Weight,Average,Median,SD,,Wash,Weight,Average,Median,SD,,Wash,Weight,Average,Median,SD,,Wash,Weight,Average,Median,SD,,Wash,Weight,Average,Median,SD,,1.2,0.006,0.0072,1.07,0.49
W005,800g,96.54,102.8,24.02,,W005,800g,12.31,13.11,3.06,,W005,800g,117.01,120.68,25.6,,W005,800g,14.92,15.39,3.27,,W005,800g,83.51,79.17,22.34,,W005,800g,10.65,10.10,2.85,,13.30739796,10.32397959,13.87627551,,
W007,1000g,52.48,55.48,6.89,,W007,1000g,6.69,7.08,0.88,,W007,1000g,111.44,115.24,17.14,,W007,1000g,14.21,14.70,2.19,,W007,1000g,138.59,136.01,17.12,,W007,1000g,17.68,17.35,2.18,,6.496173469,1.961734694,6.257653061,,
W007,100g,7.97,7.46,1.28,,W007,100g,1.02,0.95,0.16,,W007,100g,6.36,5.54,2.03,,W007,100g,0.81,0.71,0.26,,W007,100g,48.92,43.88,12.87,,W007,100g,6.24,5.60,1.64,,8.089285714,3.875,10.03061224,,
W007,2000g,87.36,83.54,19.17,,W007,2000g,11.14,10.66,2.45,,W007,2000g,157.25,161.36,21.38,,W007,2000g,20.06,20.58,2.73,,W007,2000g,212.18,196.49,36.45,,W007,2000g,27.06,25.06,4.65,,9.232142857,5.483418367,13.97321429,,
W007,200g,9.22,9.43,0.97,,W007,200g,1.18,1.20,0.12,,W007,200g,13.76,13.9,1.01,,W007,200g,1.76,1.77,0.13,,W007,200g,84.45,80.65,10.79,,W007,200g,10.77,10.29,1.38,,,,,,
W007,400g,16.29,15.97,6.67,,W007,400g,2.08,2.04,0.85,,W007,400g,30.79,35.45,8.93,,W007,400g,3.93,4.52,1.14,,W007,400g,118.67,126.14,16.37,,W007,400g,15.14,16.09,2.09,,,,,,
W007,800g,33.4,30.56,11.77,,W007,800g,4.26,3.90,1.50,,W007,800g,32.49,29.2,9.35,,W007,800g,4.14,3.72,1.19,,W007,800g,133.59,150.41,32.78,,W007,800g,17.04,19.18,4.18,,,,,,
W009,1000g,86.22,75.84,25.45,,W009,1000g,11.00,9.67,3.25,,W009,1000g,69.86,68.52,14.62,,W009,1000g,8.91,8.74,1.86,,W009,1000g,76.19,73.55,15.29,,W009,1000g,9.72,9.38,1.95,,,,,,
W009,100g,36.1,21.12,30.86,,W009,100g,4.60,2.69,3.94,,W009,100g,9.07,9.41,2.34,,W009,100g,1.16,1.20,0.30,,W009,100g,17.53,16.24,3.23,,W009,100g,2.24,2.07,0.41,,,,,,
W009,2000g,136.95,137.77,26.58,,W009,2000g,17.47,17.57,3.39,,W009,2000g,92.87,95.97,14.54,,W009,2000g,11.85,12.24,1.85,,W009,2000g,188.04,200.49,58.5,,W009,2000g,23.98,25.57,7.46,,,,,,
W009,200g,46.89,50.76,16.57,,W009,200g,5.98,6.47,2.11,,W009,200g,18.62,17.16,9.23,,W009,200g,2.38,2.19,1.18,,W009,200g,22.65,17.78,11.51,,W009,200g,2.89,2.27,1.47,,,,,,
W009,400g,66.44,62.51,14.42,,W009,400g,8.47,7.97,1.84,,W009,400g,33.86,37.8,7.41,,W009,400g,4.32,4.82,0.95,,W009,400g,47.53,45,15.53,,W009,400g,6.06,5.74,1.98,,,,,,
W009,800g,90.29,106,32.38,,W009,800g,11.52,13.52,4.13,,W009,800g,53.37,53.02,16.82,,W009,800g,6.81,6.76,2.15,,W009,800g,79.24,74.54,20.36,,W009,800g,10.11,9.51,2.60,,,,,,
W011,1000g,75.66,67.93,27.02,,W011,1000g,9.65,8.66,3.45,,W011,1000g,109.71,100.29,39.09,,W011,1000g,13.99,12.79,4.99,,W011,1000g,68.52,71.53,15.58,,W011,1000g,8.74,9.12,1.99,,,,,,
W011,100g,11.16,10.93,2.21,,W011,100g,1.42,1.39,0.28,,W011,100g,22.68,21.79,9.03,,W011,100g,2.89,2.78,1.15,,W011,100g,22.55,23.19,3.54,,W011,100g,2.88,2.96,0.45,,,,,,
W011,2000g,165.09,143.7,49.99,,W011,2000g,21.06,18.33,6.38,,W011,2000g,157.01,149.01,33.63,,W011,2000g,20.03,19.01,4.29,,W011,2000g,138.12,139.98,18.53,,W011,2000g,17.62,17.85,2.36,,,,,,
W011,200g,14.67,14.18,6.46,,W011,200g,1.87,1.81,0.82,,W011,200g,35.65,28.74,15.46,,W011,200g,4.55,3.67,1.97,,W011,200g,49.92,48.6,6.03,,W011,200g,6.37,6.20,0.77,,,,,,
W011,400g,20.51,21.92,4.3,,W011,400g,2.62,2.80,0.55,,W011,400g,64.16,64.4,4.87,,W011,400g,8.18,8.21,0.62,,W011,400g,52.25,48.87,16.76,,W011,400g,6.66,6.23,2.14,,,,,,
W011,800g,47.49,46.82,19.69,,W011,800g,6.06,5.97,2.51,,W011,800g,65.47,65.16,15.95,,W011,800g,8.35,8.31,2.03,,W011,800g,61.7,57.62,6.67,,W011,800g,7.87,7.35,0.85,,,,,,
W013,1000g,24,23.62,4.94,,W013,1000g,3.06,3.01,0.63,,W013,1000g,152.75,150.34,22.5,,W013,1000g,19.48,19.18,2.87,,W013,1000g,57.24,59.06,11.86,,W013,1000g,7.30,7.53,1.51,,,,,,
W013,100g,2.16,2.28,0.67,,W013,100g,0.28,0.29,0.09,,W013,100g,50.48,52.53,7.52,,W013,100g,6.44,6.70,0.96,,W013,100g,12.19,12.58,1.87,,W013,100g,1.55,1.60,0.24,,,,,,
W013,2000g,60.6,56.09,14.5,,W013,2000g,7.73,7.15,1.85,,W013,2000g,194.46,190.23,24.92,,W013,2000g,24.80,24.26,3.18,,W013,2000g,96.67,96.72,14.37,,W013,2000g,12.33,12.34,1.83,,,,,,
W013,200g,5.02,4.18,1.86,,W013,200g,0.64,0.53,0.24,,W013,200g,82.53,80.89,10.42,,W013,200g,10.53,10.32,1.33,,W013,200g,15.41,13.62,8.59,,W013,200g,1.97,1.74,1.10,,,,,,
W013,400g,12.89,13.05,3.23,,W013,400g,1.64,1.66,0.41,,W013,400g,108.29,95.54,32.6,,W013,400g,13.81,12.19,4.16,,W013,400g,31.46,33.98,7.28,,W013,400g,4.01,4.33,0.93,,,,,,
W013,800g,19.91,18.64,5.32,,W013,800g,2.54,2.38,0.68,,W013,800g,143.71,139.94,32.37,,W013,800g,18.33,17.85,4.13,,W013,800g,52.84,53.91,18.41,,W013,800g,6.74,6.88,2.35,,,,,,
W015,1000g,99.99,57.3,80.98,,W015,1000g,12.75,7.31,10.33,,W015,1000g,70.1,74.46,9.86,,W015,1000g,8.94,9.50,1.26,,W015,1000g,60.25,59.11,17.43,,W015,1000g,7.68,7.54,2.22,,,,,,
W015,100g,17.7,18.77,5.14,,W015,100g,2.26,2.39,0.66,,W015,100g,9.33,6.88,4.71,,W015,100g,1.19,0.88,0.60,,W015,100g,8.72,8.39,1.24,,W015,100g,1.11,1.07,0.16,,,,,,
W015,2000g,85.23,89.05,18.54,,W015,2000g,10.87,11.36,2.36,,W015,2000g,73.1,73.87,11.51,,W015,2000g,9.32,9.42,1.47,,W015,2000g,95.16,96.15,13.06,,W015,2000g,12.14,12.26,1.67,,,,,,
W015,200g,18.16,10.9,12.94,,W015,200g,2.32,1.39,1.65,,W015,200g,13.77,15.82,4.03,,W015,200g,1.76,2.02,0.51,,W015,200g,15.47,16.87,4.18,,W015,200g,1.97,2.15,0.53,,,,,,
W015,400g,60.81,61.4,36.31,,W015,400g,7.76,7.83,4.63,,W015,400g,30.62,36.45,14.46,,W015,400g,3.91,4.65,1.84,,W015,400g,33.27,33.62,7.45,,W015,400g,4.24,4.29,0.95,,,,,,
W015,800g,112.25,106.71,65.49,,W015,800g,14.32,13.61,8.35,,W015,800g,69.4,72.84,10.63,,W015,800g,8.85,9.29,1.36,,W015,800g,39.95,39.59,5.71,,W015,800g,5.10,5.05,0.73,,,,,,
