"Wash.number","Average","Median","SD"
"1","W000",0.131,0.11,0.1
"2","W001",0.231,0.2,0.07
"3","W002",0.173,0.19,0.07
"4","W003",0.045,0.03,0.08
"5","W004",0.042,0.03,0.05
"6","W005",0.075,0.06,0.05
"7","W006",0.059,0.05,0.05
"8","W007",0.022,0.03,0.03
"9","W008",0.024,0.02,0.02
"10","W009",0.054,0.06,0.03
"11","W010",0.058,0.07,0.04
"12","W013",0.051,0.03,0.06
"13","W015",0.034,0.01,0.07
