Comparison,Z,P.unadj,P.adj
1000g - 100g,3.30473755729266,0.000950653729703216,0.0142598059455482
1000g - 2000g,-0.969868630944584,0.332111977901723,1
100g - 2000g,-4.27460618823724,1.91475431840851e-05,0.000287213147761276
1000g - 200g,2.22710574513201,0.0259402073412141,0.389103110118212
100g - 200g,-1.07763181216065,0.281198099564179,1
2000g - 200g,3.19697437607659,0.0013887726278696,0.020831589418044
1000g - 400g,1.8319740806731,0.0669552823173684,1
100g - 400g,-1.47276347661955,0.140814823799368,1
2000g - 400g,2.80184271161769,0.00508116401612618,0.0762174602418927
200g - 400g,-0.395131664458905,0.692745721390257,1
1000g - 800g,0.610658026891034,0.541425998736823,1
100g - 800g,-2.69407953040162,0.00705833204852809,0.105874980727921
2000g - 800g,1.58052665783562,0.113986306947454,1
200g - 800g,-1.61644771824097,0.105997548424946,1
400g - 800g,-1.22131605378207,0.221966377356811,1
