Comparison,Z,P.unadj,P.adj
G1 - G2,-0.63577903914732,0.524920451287504,1
G1 - G3,-3.71294958862035,0.00020485770375876,0.00061457311127628
G2 - G3,-3.07717054947303,0.00208975697957013,0.00626927093871038
