Comparison,Z,P.unadj,P.adj
1000g - 100g,2.58631634918556,0.0097007850682296,0.145511776023444
1000g - 2000g,-1.04171075175529,0.297545802664089,1
100g - 2000g,-3.62802710094085,0.000285595288236352,0.00428392932354529
1000g - 200g,2.58631634918556,0.0097007850682296,0.145511776023444
100g - 200g,0,1,1
2000g - 200g,3.62802710094085,0.000285595288236352,0.00428392932354529
1000g - 400g,1.61644771824097,0.105997548424946,1
100g - 400g,-0.969868630944584,0.332111977901723,1
2000g - 400g,2.65815846999627,0.00785689393135384,0.117853408970308
200g - 400g,-0.969868630944584,0.332111977901723,1
1000g - 800g,0.395131664458905,0.692745721390257,1
100g - 800g,-2.19118468472665,0.0284384304356491,0.426576456534737
2000g - 800g,1.4368424162142,0.150762775026645,1
200g - 800g,-2.19118468472665,0.0284384304356491,0.426576456534737
400g - 800g,-1.22131605378207,0.221966377356811,1
