Wash,Weight,Average,Median,SD
W000,1000g,78.46,67.19,17.24
W000,100g,22.43,20.68,3.17
W000,2000g,82.61,80.01,11.88
W000,200g,25.65,21.37,7.65
W000,400g,52.32,55.48,13.23
W000,800g,67.77,61.13,16.3
W041,1000g,71.27,52.82,28.23
W041,100g,27.24,30.46,13.45
W041,2000g,135.29,150.08,33.29
W041,200g,30.59,34.61,15.43
W041,400g,20.76,19.5,3.63
W041,800g,53.6,51.76,14.76
