"Wash.number","Average","Median","SD"
"1","W000",0.257,0.23,0.17
"2","W001",0.199,0.14,0.16
"3","W002",0.063,0.03,0.07
"4","W003",0.031,0.02,0.04
"5","W004",0.014,0.01,0.02
"6","W005",0.017,0,0.02
"7","W010",0.007,0.01,0.02
"8","W015",0.004,0,0.01
