Pairwise.Comparison,Estimate,T.Value,p.Value,Significance
1VcottonD - 1Vcotton,-21.3298271975958,-3.31188144745173,0.01607,*
1VcottonDC - 1Vcotton,2.20435762584522,0.342270523664083,0.98567,NS
5Vcotton - 1Vcotton,-8.50488354620587,-1.52484319153093,0.43879,NS
1VcottonDC - 1VcottonD,23.534184823441,3.65415197111581,0.00713,**
5Vcotton - 1VcottonD,12.82494365139,2.29938809888984,0.12889,NS
5Vcotton - 1VcottonDC,-10.7092411720511,-1.92006314947719,0.24830,NS
