Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj,Comparison,Z,P.unadj,P.adj
1Vcotton - 1VcottonD,-0.220976902810881,0.825110417322674,1,1Vcotton - 1VcottonD,-1.02134571085358,0.307090676674246,0.921272030022738,1Vcotton - 1VcottonD,-1.79342057890493,0.0729056994758815,0.218717098427645,1Vcotton - 1VcottonD,-1.37167370159437,0.170165038754039,0.510495116262117,1Vcotton - 1VcottonD,-2.25827890684777,0.0239282764887031,0.0717848294661094,1Vcotton - 1VcottonD,-1.71930809747978,0.0855582862995983,0.256674858898795
1Vcotton - 1VcottonDC,-2.09119605586883,0.0365104927513499,0.10953147825405,1Vcotton - 1VcottonDC,-2.73391879593921,0.0062585477171446,0.0187756431514338,1Vcotton - 1VcottonDC,-2.72583758912448,0.00641385493871773,0.0192415648161532,1Vcotton - 1VcottonDC,-1.89447271556158,0.0581622926002554,0.174486877800766,1Vcotton - 1VcottonDC,-1.90525439993004,0.0567470098707402,0.17024102961222,1Vcotton - 1VcottonDC,-2.42805109064151,0.0151802046654895,0.0455406139964684
1VcottonD - 1VcottonDC,-1.87021915305794,0.0614533910492053,0.184360173147616,1VcottonD - 1VcottonDC,-1.71257308508563,0.0867911083805749,0.260373325141725,1VcottonD - 1VcottonDC,-0.932417010219544,0.351121057298201,1,1VcottonD - 1VcottonDC,-0.522799013967207,0.601114125862399,1,1VcottonD - 1VcottonDC,0.35302450691773,0.724070068030218,1,1VcottonD - 1VcottonDC,-0.708742993161729,0.478483979714886,1
