Wash,Weight,Average,Median,SD
W000,1000g,73.77,67.04,35.8
W000,100g,23.56,22.12,12.88
W000,2000g,84.61,87.62,13.04
W000,200g,41.42,43.58,22.83
W000,400g,42.95,48.08,18.49
W000,800g,67.07,56.93,21.75
W051,1000g,43.87,37.48,25.2
W051,100g,4.27,3.71,1.78
W051,2000g,86.28,88.02,31.06
W051,200g,7.64,5.25,4.94
W051,400g,16.85,11.52,11.36
W051,800g,25.65,27.65,5.29
