Comparison,Z,P.unadj,P.adj
1000g - 100g,2.51447422837485,0.011921001496914,0.17881502245371
1000g - 2000g,-0.179605302026775,0.857462441959241,1
100g - 2000g,-2.69407953040162,0.0070583320485281,0.105874980727922
1000g - 200g,2.65815846999627,0.00785689393135385,0.117853408970308
100g - 200g,0.14368424162142,0.885749815429911,1
2000g - 200g,2.83776377202304,0.00454307919874016,0.0681461879811023
1000g - 400g,0.610658026891034,0.541425998736823,1
100g - 400g,-1.90381620148381,0.0569341257402975,0.854011886104463
2000g - 400g,0.790263328917809,0.42937399824547,1
200g - 400g,-2.04750044310523,0.0406089734042536,0.609134601063804
1000g - 800g,-0.323289543648195,0.746475972155619,1
100g - 800g,-2.83776377202304,0.00454307919874016,0.0681461879811023
2000g - 800g,-0.14368424162142,0.885749815429911,1
200g - 800g,-2.98144801364446,0.00286888750976146,0.043033312646422
400g - 800g,-0.933947570539229,0.350330938579847,1
