"Wash.number","Average","Median","SD"
"1","W000",0.12,0.12,0.05
"2","W001",0.297,0.33,0.12
"3","W002",0.212,0.25,0.09
"4","W003",0.14,0.12,0.14
"5","W004",0.073,0.06,0.03
"6","W005",0.106,0.08,0.08
"7","W006",0.084,0.08,0.07
"8","W007",0.07,0.06,0.05
"9","W008",0.007,0.01,0.04
"10","W009",0.039,0.04,0.03
"11","W010",0.025,0.02,0.03
"12","W013",0.006,0,0.02
"13","W015",0.033,0.03,0.05
