Wash,Weight,Average,Median,SD
W000,1000g,45.75,39.8,14.6
W000,100g,10.73,10.8,2.26
W000,2000g,80.94,81.33,20.31
W000,200g,15.38,16.46,4.2
W000,400g,30.38,31.8,8.91
W000,800g,42.99,41.78,5.46
W001,1000g,225.91,209.72,57.29
W001,100g,107.19,110.85,15.16
W001,2000g,312.88,308.97,18.1
W001,200g,120.24,118.31,12.36
W001,400g,173.87,181.56,24.64
W001,800g,217.16,226.33,39.12
W003,1000g,197.34,178.08,47.76
W003,100g,52.22,54.18,5.83
W003,2000g,263.13,260.63,47.39
W003,200g,58.6,62.26,16.1
W003,400g,98.18,103.64,28.96
W003,800g,202.11,187.63,28.9
W005,1000g,124.7,131.84,27.1
W005,100g,16.37,16.12,2.14
W005,2000g,219.41,208.57,44.69
W005,200g,28.53,27.42,5.95
W005,400g,79.4,75.15,19.82
W005,800g,117.01,120.68,25.6
W007,1000g,111.44,115.24,17.14
W007,100g,6.36,5.54,2.03
W007,2000g,157.25,161.36,21.38
W007,200g,13.76,13.9,1.01
W007,400g,30.79,35.45,8.93
W007,800g,32.49,29.2,9.35
W009,1000g,69.86,68.52,14.62
W009,100g,9.07,9.41,2.34
W009,2000g,92.87,95.97,14.54
W009,200g,18.62,17.16,9.23
W009,400g,33.86,37.8,7.41
W009,800g,53.37,53.02,16.82
W011,1000g,109.71,100.29,39.09
W011,100g,22.68,21.79,9.03
W011,2000g,157.01,149.01,33.63
W011,200g,35.65,28.74,15.46
W011,400g,64.16,64.4,4.87
W011,800g,65.47,65.16,15.95
W013,1000g,152.75,150.34,22.5
W013,100g,50.48,52.53,7.52
W013,2000g,194.46,190.23,24.92
W013,200g,82.53,80.89,10.42
W013,400g,108.29,95.54,32.6
W013,800g,143.71,139.94,32.37
W015,1000g,70.1,74.46,9.86
W015,100g,9.33,6.88,4.71
W015,2000g,73.1,73.87,11.51
W015,200g,13.77,15.82,4.03
W015,400g,30.62,36.45,14.46
W015,800g,69.4,72.84,10.63
