Operator,Repeat,statistic,p.value
Operator 2,R1,1,0.06250
Operator 2,R2,1,0.06250
Operator 2,R3,0,0.03125
Operator 3,R1,8,0.68750
Operator 3,R2,8,0.68750
Operator 3,R3,0,0.03125
Operator 5,R1,10,1.00000
Operator 5,R2,14,0.56250
Operator 5,R3,17,0.21875
