Comparison,Z,P.unadj,P.adj
1000g - 100g,3.25121763503605,0.00114911857020384,0.0172367785530576
1000g - 2000g,-0.969976531999704,0.332058190009447,1
100g - 2000g,-4.22119416703575,2.43011496732201e-05,0.000364517245098301
1000g - 200g,2.62252914207328,0.00872798031083893,0.130919704662584
100g - 200g,-0.628688492962771,0.529553012977545,1
2000g - 200g,3.59250567407298,0.000327513520638063,0.00491270280957094
1000g - 400g,1.92199053562904,0.0546069486528818,0.819104229793227
100g - 400g,-1.329227099407,0.18377305705467,1
2000g - 400g,2.89196706762875,0.00382838073971895,0.0574257110957843
200g - 400g,-0.700538606444231,0.48359100390167,1
1000g - 800g,0.826276305036786,0.408647371617849,1
100g - 800g,-2.42494132999926,0.0153108609020692,0.229662913531038
2000g - 800g,1.79625283703649,0.0724543149495506,1
200g - 800g,-1.79625283703649,0.0724543149495506,1
400g - 800g,-1.09571423059226,0.273203853089011,1
